"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x827469927317635072","x1228057948397723672",2020-02-13 20:46:45,"olddutchbastard","He said that Islam prophet said :” fight all non Muslims till the convert to Islam and accept him as prophet of Allah on earth”","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x764574111842598912","AzzatAlsaleem","en",,,,,,,,,,,,,,,,"x1228054624919314438","He said that Islam prophet said :” fight all non Muslims till the convert to Islam and accept him as prophet of Allah on earth”",2020-02-13 20:33:33,"Twitter for iPhone",33,26,"x764574111842598912","AzzatAlsaleem","Azzat Alsaleem",20300,18542,189553,"Êzidxan","YEZIDIS r ethno-religious group.1 of d oldest religions in d world #StopYezidiGenocide #MAGA #Christians #Hindus #<U+0627><U+0632>_<U+0626><U+064A><U+0632><U+062F><U+064A><U+0645><U+0627>_<U+0633><U+0631>_<U+0628><U+0644><U+0646><U+062F><U+0645> #YazidiKidnapped #Êzidima",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/olddutchbastard/status/1228057948397723672","OuweBarend <U+0001F1F3><U+0001F1F1>","Spijkenisse","<U+0001F69C> PVV<U+0001F44D> - FVD <U+0001F44D> - AFD<U+0001F44D>- TRUMP<U+0001F44D> -  SALVINI<U+0001F44D> - Tommy Robinson<U+0001F44D>
Orban<U+0001F44D>-  <U+0001F6AB> EU <U+0001F51A><U+0001F51C> <U+0001F69C>","https://gab.com/OuweBarend",FALSE,4293,4821,2,144099,257493,2017-02-03 10:52:59,FALSE,,,,"https://pbs.twimg.com/profile_banners/827469927317635072/1562412467","","http://pbs.twimg.com/profile_images/1204532454784155649/Zt66EN_C_normal.jpg"
"x1677184237","x1228057945906216960",2020-02-13 20:46:45,"MarineauMary","Under the new guidelines, Sikhs and Muslims can seek a religious accommodation to wear turbans, beards, unshorn hair and hijabs, and expect to be approved as long as their appearance is ""neat and conservative,"" except under extremely limited circumstances https://t.co/vdWqT8rFZQ","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x2097571","cnni","en",,,,,,,,,,,,,,,,"x1228050005040259073","Under the new guidelines, Sikhs and Muslims can seek a religious accommodation to wear turbans, beards, unshorn hair and hijabs, and expect to be approved as long as their appearance is ""neat and conservative,"" except under extremely limited circumstances https://t.co/vdWqT8rFZQ",2020-02-13 20:15:11,"SocialFlow",206,64,"x2097571","cnni","CNN International",10103667,370,223614,"Everywhere","Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MarineauMary/status/1228057945906216960","Mary Marineau","Boston,Mass","47yrs old,in a relationship, a mother an a grandmother of 3. A proud owner of 2 Bluenose Pitbull`s!","http://www.MarineauMary.com",FALSE,1868,3289,32,65456,48254,2013-08-17 02:44:02,FALSE,,,,"https://pbs.twimg.com/profile_banners/1677184237/1501679815","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/892735103394353153/AMPv09GT_normal.jpg"
"x765748753282326529","x1228057944136220672",2020-02-13 20:46:44,"blissykoo","muslims have been doing this for so long tho https://t.co/qODVzQMqWv","Twitter for iPhone",,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1153675387639160833","grammyjoon","en","x1227076551277039616","No toilet paper? Health experts say washing may be better than wiping https://t.co/dTsGDpwHEZ https://t.co/xYUvyYIC2M",2020-02-11 03:47:02,"dlvr.it",1619,1284,"x38400130","ChannelNewsAsia","CNA",957153,167,467669,"Singapore","The official space of CNA - the source of breaking news from Asia and the world. We want to hear from you. Comments and news tips are welcome.",TRUE,"x1227957001780633600","muslims have been doing this for so long tho https://t.co/qODVzQMqWv",2020-02-13 14:05:38,"Twitter for Android",46740,15914,"x1153675387639160833","grammyjoon","<U+00013189> lilith 7 - ceo of lame",20433,3940,33663,,"#<U+0001D541><U+0001D54C>N<U+0001D53E><U+0001D542><U+0001D546><U+0001D546><U+0001D542>: its not a coincidence that moon rhymes with joon like one enhances the beauty of the sky and the other of the land // fan account",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/blissykoo/status/1228057944136220672","azzy7","16, bi, she/her","<U+0001F4AB><U+2601><U+FE0F><U+0001F9F8> <U+2661>  bts, nct, svt, sf9, mx, rv, twice, and more!","http://ilovejoonandjungoo.com",FALSE,175,447,8,10135,33642,2016-08-17 03:15:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/765748753282326529/1581997442","","http://pbs.twimg.com/profile_images/1229612508035665920/XcICL7dp_normal.jpg"
"x17821005","x1228057913156980736",2020-02-13 20:46:37,"ActionZacku","That was the movie that was openly racist toward both muslims and koreans but somehow everyone gave it a pass because it was the early 2000s and you could, apparently, just be totally racist, and so long as it was labeled as comedy, white people would call it ""ironic""","TweetDeck",,"x1228056561999679488","x17821005","ActionZacku",FALSE,FALSE,41,10,0,5,,,"twitter.com/i/web/status/1…","https://t.co/JeRVkqfyC4","https://twitter.com/i/web/status/1228057913156980736",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ActionZacku/status/1228057913156980736","Zac Bertschy","Los Angeles, CA","formerly @ANNZac. editorial director for @anime, opinions posted are mine alone. i also write about self-hatred at http://www.zacbertschy.com","http://www.animenewsnetwork.com",FALSE,3619,730,52,9202,6932,2008-12-02 22:37:12,FALSE,,,,"https://pbs.twimg.com/profile_banners/17821005/1583013270","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1102464794060185601/HbhGO5C7_normal.png"
"x137756795","x1228057912884547590",2020-02-13 20:46:37,"Star_Vibes","Muslims in Denmark threaten ""We will enforce Sharia laws, Christians will die or convert to Islam""

https://t.co/nDpKqVF6Hs","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1140738103654649868","Upyourjunker1","en",,,,,,,,,,,,,,,,"x1228048363658137600","Muslims in Denmark threaten ""We will enforce Sharia laws, Christians will die or convert to Islam""

https://t.co/nDpKqVF6Hs",2020-02-13 20:08:40,"Twitter for Android",281,494,"x1140738103654649868","Upyourjunker1","Don't buy from EU",8655,7631,6071,"Solent UK","<U+0001F1EC><U+0001F1E7>Buy British <U+0001F1EC><U+0001F1E7>  #BritishIndependence . Dog lover and likes motorbikes and life<U+0001F601> Believes in Democracy<U+0001F1EC><U+0001F1E7><U+0001F1EC><U+0001F1E7>",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Star_Vibes/status/1228057912884547590","FreeSpirit","NorthWest UK ","Support natural-health, organic-foods, meditation, quantum-physics. LoveEuropeans but loathe th eu. RT's are not endorsement. Automatic block if added to a list",,FALSE,526,1185,6,6005,2245,2010-04-27 17:25:53,FALSE,,,,"https://pbs.twimg.com/profile_banners/137756795/1568455554","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1172791729898098688/1OFi4N3e_normal.jpg"
"x796785883257143296","x1228057910082703361",2020-02-13 20:46:36,"Darrell03092157","Try and make us Americans be Muslims you will be the one to be ousted https://t.co/AK1fwlFB1o","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1221520161758420998","LindaSt42331908","en",,,,,,,,,,,,,,,,"x1227807657567846400","Try and make us Americans be Muslims you will be the one to be ousted https://t.co/AK1fwlFB1o",2020-02-13 04:12:11,"Twitter for Android",3368,2766,"x1221520161758420998","LindaSt42331908","Linda Stephens",695,777,3058,"North Carolina, USA","retired certified nursing assistant and strong supporter of President Trump I will follow all Patriots",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Darrell03092157/status/1228057910082703361","Darrell Barnes",,"Supports: Donald Trump, POTUS, NRA Deplores: Nancy P., HRC, DNC, Liberals, Comey, McCabe; No DM",,FALSE,1875,1904,0,37103,102462,2016-11-10 18:45:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/796785883257143296/1478804558","","http://pbs.twimg.com/profile_images/796789539050319872/n8MBNoEV_normal.jpg"
"x1289012652","x1228057894295195648",2020-02-13 20:46:32,"rajdbj","Delhi’s Muslim population: 12.78%
AAP voteshare: 53.6%
So 41 percent points of votes came from Hindus

normal Hindus are nice folks just like normal Muslims and Christians. (Sikhs are gems, nice is a smaller word). Normal Hindus voted for AAP. Fundamentalist Hindus voted for BJP.","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x829505335941402624","KrishnaSpoke","en",,,,,,,,,,,,,,,,"x1227423826222305280","Delhi’s Muslim population: 12.78%
AAP voteshare: 53.6%
So 41 percent points of votes came from Hindus

normal Hindus are nice folks just like normal Muslims and Christians. (Sikhs are gems, nice is a smaller word). Normal Hindus voted for AAP. Fundamentalist Hindus voted for BJP.",2020-02-12 02:46:59,"Twitter for iPhone",5871,1344,"x829505335941402624","KrishnaSpoke","Krishna",1913,231,14954,,"A Krishna fan and a Gita fan. No messages please. Follow back <U+092E><U+093F><U+0932> <U+091C><U+093E><U+090F><U+0917><U+093E>.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rajdbj/status/1228057894295195648","Raj maurya","New Delhi","Free thinker, environmentalist, social worker, DU, BHU alumni, democracy and freedom loving free soul, human rights activist #loveandpeace.RTs not endorsement.",,FALSE,6,106,0,716,591,2013-03-22 15:51:59,FALSE,,,,"https://pbs.twimg.com/profile_banners/1289012652/1580841294","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1123680083791757312/d9sfPMkv_normal.jpg"
"x1023230685824176129","x1228057891975753728",2020-02-13 20:46:32,"lindac63123953","Try and make us Americans be Muslims you will be the one to be ousted https://t.co/AK1fwlFB1o","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1221520161758420998","LindaSt42331908","en",,,,,,,,,,,,,,,,"x1227807657567846400","Try and make us Americans be Muslims you will be the one to be ousted https://t.co/AK1fwlFB1o",2020-02-13 04:12:11,"Twitter for Android",3368,2766,"x1221520161758420998","LindaSt42331908","Linda Stephens",695,777,3058,"North Carolina, USA","retired certified nursing assistant and strong supporter of President Trump I will follow all Patriots",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lindac63123953/status/1228057891975753728","linda  c",,,,FALSE,693,691,0,36012,31391,2018-07-28 15:36:20,FALSE,,,,,"","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x1017143522573643776","x1228057890373722117",2020-02-13 20:46:31,"slitherinsnacc","muslims have been doing this for so long tho https://t.co/qODVzQMqWv","Twitter for iPhone",,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1153675387639160833","grammyjoon","en","x1227076551277039616","No toilet paper? Health experts say washing may be better than wiping https://t.co/dTsGDpwHEZ https://t.co/xYUvyYIC2M",2020-02-11 03:47:02,"dlvr.it",1619,1284,"x38400130","ChannelNewsAsia","CNA",957153,167,467669,"Singapore","The official space of CNA - the source of breaking news from Asia and the world. We want to hear from you. Comments and news tips are welcome.",TRUE,"x1227957001780633600","muslims have been doing this for so long tho https://t.co/qODVzQMqWv",2020-02-13 14:05:38,"Twitter for Android",46740,15914,"x1153675387639160833","grammyjoon","<U+00013189> lilith 7 - ceo of lame",20433,3940,33663,,"#<U+0001D541><U+0001D54C>N<U+0001D53E><U+0001D542><U+0001D546><U+0001D546><U+0001D542>: its not a coincidence that moon rhymes with joon like one enhances the beauty of the sky and the other of the land // fan account",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/slitherinsnacc/status/1228057890373722117","koo7",,,,FALSE,16,50,0,7691,55,2018-07-11 20:28:08,FALSE,,,,"https://pbs.twimg.com/profile_banners/1017143522573643776/1577909552","","http://pbs.twimg.com/profile_images/1217053332893851648/knMB3Zei_normal.jpg"
"x836299211385765888","x1228057889845239821",2020-02-13 20:46:31,"BrianWheele","Muslims in Denmark threaten ""We will enforce Sharia laws, Christians will die or convert to Islam""

https://t.co/nDpKqVF6Hs","Twitter Web App",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1140738103654649868","Upyourjunker1","en",,,,,,,,,,,,,,,,"x1228048363658137600","Muslims in Denmark threaten ""We will enforce Sharia laws, Christians will die or convert to Islam""

https://t.co/nDpKqVF6Hs",2020-02-13 20:08:40,"Twitter for Android",281,494,"x1140738103654649868","Upyourjunker1","Don't buy from EU",8655,7631,6071,"Solent UK","<U+0001F1EC><U+0001F1E7>Buy British <U+0001F1EC><U+0001F1E7>  #BritishIndependence . Dog lover and likes motorbikes and life<U+0001F601> Believes in Democracy<U+0001F1EC><U+0001F1E7><U+0001F1EC><U+0001F1E7>",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BrianWheele/status/1228057889845239821","Mordecai The Foul #Q <U+0001F407> <U+0001F573><U+271D><U+2620><U+FE0F>","Surreyflag","Blimey! I have fallen through a crack in time.  Don't follow me I'm lost.  Screw Your Courage To The Sticking Place  <U+2620><U+FE0F> <U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F>",,FALSE,3237,4234,12,116023,68945,2017-02-27 19:37:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/836299211385765888/1555012216","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1137779021062856709/JdIJzbmf_normal.png"
