"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2629","RT @VoteForSolomon: Dearborn has the largest concentration of Arab-Americans in the country. 

Yet, Rep. Dingell refuses to support a resol…",FALSE,0,NA,2020-04-03 19:08:11,FALSE,NA,"1246152536236544000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kelmdm",13,TRUE,FALSE,NA,NA
"2630","RT @hz1sar: Some countries around the world are allowing radio amateurs to use special #STAYHOME call sign suffixes.
HZ1STAYHOME - Saudi Ar…",FALSE,0,NA,2020-04-03 19:08:03,FALSE,NA,"1246152503407886337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daigani",7,TRUE,FALSE,NA,NA
"2631","RT @Humanity_2145: Faith leaders: ""By suspending all #US arms sales and military support to #SaudiArabia and the United Arab Emirates (#UAE…",FALSE,0,NA,2020-04-03 19:08:03,FALSE,NA,"1246152502577369089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ali2008318",19,TRUE,FALSE,NA,NA
"2632","@hollowdadon 3 and some Arab douche",FALSE,0,"hollowdadon",2020-04-03 19:07:51,FALSE,"1246111211382394881","1246152452975538178","67145036","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Landoficeand",0,FALSE,FALSE,NA,NA
"2633","RT @Narcunix: @RobloxDeathrun Italian, Finnish, Russian and Arab",FALSE,0,NA,2020-04-03 19:07:49,FALSE,NA,"1246152442376597504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Narcunix",1,TRUE,FALSE,NA,NA
"2634","@happyakternisha nice",FALSE,0,"happyakternisha",2020-04-03 19:07:46,FALSE,"1244681603927998466","1246152431307837440","1110261111645978626","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shekh_arab",0,FALSE,FALSE,NA,NA
"2635","I am not other way around, AGAIN, Study Ancient History then well knew who enslaved who. De So-call nowadays Arabs,… https://t.co/yrnIFvc3Qc",FALSE,0,NA,2020-04-03 19:07:44,TRUE,NA,"1246152421744746496",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BillionaireSoc",0,FALSE,FALSE,NA,NA
"2636","@saeedma08417161.ARAB BEFORE ISLAM.",FALSE,0,"saeedma08417161",2020-04-03 19:07:34,FALSE,NA,"1246152379004829696","998731723805470721","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SYEDFiayazugil1",0,FALSE,FALSE,NA,NA
"2637","RT @Keemokazi1: Why do all Arab moms know how to fight 😭😭 https://t.co/u1h9AqFrs2",FALSE,0,NA,2020-04-03 19:07:29,FALSE,NA,"1246152360625205250",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","winahohoho",6602,TRUE,FALSE,NA,NA
"2638","@habibullahWS @CORCAS_AUTONOMY And you can call us dictatorship all you want but Kingdom of Morocco is second most… https://t.co/jBunEfn7nq",FALSE,0,"habibullahWS",2020-04-03 19:07:19,TRUE,"1246146872437334017","1246152318283911168","259798484","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alaa_abid3",0,FALSE,FALSE,NA,NA
